,wc_B,wc_A,lat_A,lat_B,lng_A,lng_B
0,-1.437,-1.321,32.31626379,32.31626379,-104.04974107,-104.04974107
1,1.237,1.322,32.31626756,32.31626756,-104.04974068,-104.04974068
2,2.218,2.194,32.31627006,32.31627006,-104.04974045,-104.04974045
3,2.461,2.425,32.31627072,32.31627072,-104.0497404,-104.0497404
4,5.147,5.122,32.3162783,32.3162783,-104.04973999,-104.04973999
5,5.351,5.379,32.316279,32.316279,-104.04973997,-104.04973997
6,6.338,6.297,32.31628154,32.31628154,-104.04973992,-104.04973992
7,14.91,14.803,32.31630356,32.31630356,-104.04973963,-104.04973963
8,16.755,16.57,32.31630776,32.31630776,-104.0497396,-104.0497396
9,25.383,25.123,32.31632995,32.31632995,-104.0497396,-104.0497396
10,26.978,26.647,32.31633415,32.31633415,-104.04973954,-104.04973954
11,50.126,49.614,32.31639752,32.31639752,-104.0497396,-104.0497396
12,64.061,63.64,32.31641979,32.31641979,-104.04971317,-104.04971317
13,99.624,99.018,32.31642108,32.31642108,-104.04959826,-104.04959826
14,144.847,143.919,32.31642648,32.31642648,-104.0494525,-104.0494525
15,190.104,188.821,32.31643383,32.31643383,-104.04930688,-104.04930688
16,235.375,233.813,32.31644457,32.31644457,-104.04916133,-104.04916133
17,238.112,236.549,32.31644557,32.31644557,-104.04915253,-104.04915253
18,247.49,245.891,32.31646474,32.31646474,-104.04913631,-104.04913631
19,278.772,277.02,32.31654847,32.31654847,-104.04911387,-104.04911387
20,324.009,321.954,32.31666968,32.31666968,-104.04908341,-104.04908341
21,369.252,366.878,32.31679075,32.31679075,-104.04905216,-104.04905216
22,414.489,411.78,32.31691174,32.31691174,-104.04902084,-104.04902084
23,459.726,456.703,32.31703277,32.31703277,-104.04898955,-104.04898955
24,504.959,501.616,32.31715362,32.31715362,-104.04895731,-104.04895731
25,550.182,546.529,32.31727448,32.31727448,-104.04892514,-104.04892514
26,595.419,591.441,32.31739542,32.31739542,-104.04889332,-104.04889332
27,640.656,636.365,32.31751651,32.31751651,-104.04886228,-104.04886228
28,685.873,681.278,32.31763759,32.31763759,-104.04883125,-104.04883125
29,731.137,726.201,32.31775854,32.31775854,-104.04879942,-104.04879942
30,776.385,771.136,32.31787935,32.31787935,-104.04876666,-104.04876666
31,821.637,816.092,32.3180003,32.3180003,-104.04873441,-104.04873441
32,866.88,861.048,32.31812127,32.31812127,-104.04870238,-104.04870238
33,912.128,905.983,32.31824225,32.31824225,-104.04867061,-104.04867061
34,957.391,950.939,32.31836335,32.31836335,-104.04864003,-104.04864003
35,1002.644,995.885,32.31848433,32.31848433,-104.04860962,-104.04860962
36,1045.996,1038.931,32.31860034,32.31860034,-104.04858031,-104.04858031
37,1091.234,1083.854,32.31872129,32.31872129,-104.04854881,-104.04854881
38,1136.466,1128.767,32.3188423,32.3188423,-104.0485176,-104.0485176
39,1181.723,1173.669,32.31896345,32.31896345,-104.04848737,-104.04848737
40,1226.99,1218.647,32.31908476,32.31908476,-104.04845771,-104.04845771
41,1272.252,1263.636,32.31920625,32.31920625,-104.04842772,-104.04842772
42,1317.499,1308.669,32.31932768,32.31932768,-104.0483972,-104.0483972
43,1359.831,1350.852,32.31944129,32.31944129,-104.04836843,-104.04836843
44,1405.088,1395.874,32.31956256,32.31956256,-104.04833733,-104.04833733
45,1450.315,1440.863,32.31968386,32.31968386,-104.04830654,-104.04830654
46,1495.553,1485.808,32.31980497,32.31980497,-104.04827563,-104.04827563
47,1540.736,1530.721,32.31992601,32.31992601,-104.04824469,-104.04824469
48,1585.969,1575.677,32.32004718,32.32004718,-104.04821378,-104.04821378
49,1631.152,1620.59,32.32016844,32.32016844,-104.0481838,-104.0481838
50,1656.912,1646.18,32.32023743,32.32023743,-104.04816643,-104.04816643
51,1702.169,1691.125,32.32035861,32.32035861,-104.04813555,-104.04813555
52,1747.421,1736.06,32.32047985,32.32047985,-104.04810509,-104.04810509
53,1792.669,1780.961,32.32060098,32.32060098,-104.04807471,-104.04807471
54,1837.891,1825.907,32.32072201,32.32072201,-104.04804291,-104.04804291
55,1883.158,1870.841,32.32084284,32.32084284,-104.04801023,-104.04801023
56,1928.386,1915.787,32.32096372,32.32096372,-104.04797772,-104.04797772
57,1973.662,1960.721,32.32108486,32.32108486,-104.04794678,-104.04794678
58,2018.895,2005.645,32.32120604,32.32120604,-104.04791622,-104.04791622
59,2064.143,2050.59,32.32132722,32.32132722,-104.04788523,-104.04788523
60,2109.42,2095.558,32.32144851,32.32144851,-104.04785466,-104.04785466
61,2154.673,2140.525,32.32156979,32.32156979,-104.04782393,-104.04782393
62,2199.926,2185.459,32.32169095,32.32169095,-104.04779299,-104.04779299
63,2245.179,2230.405,32.32181221,32.32181221,-104.04776251,-104.04776251
64,2290.432,2275.35,32.32193362,32.32193362,-104.04773297,-104.04773297
