,id_A,wc_A,feature_A,us_weld_dist_A,wt_A,depth_A,length_A,width_A,orientation_A,pressure_1_A,pressure_2_A,joint_length_A,lat_A,lng_A,comments_A,us_weld_id_A,us_weld_dist_coord_A,us_weld_dist_wc_A,h_dist_A,orientation_x_A,orientation_y_A,id_B,wc_B,feature_B,us_weld_dist_B,wt_B,depth_B,length_B,width_B,orientation_B,pressure_1_B,pressure_2_B,joint_length_B,lat_B,lng_B,comments_B,us_weld_id_B,us_weld_dist_coord_B,us_weld_dist_wc_B,h_dist_B,orientation_x_B,orientation_y_B,pipe_section,section_sequence
4314,43250,184848.58,WELD,,0.28,,,,,,,2.694999999977881,32.76236745,-104.26808652,,,,,321.672668352301,,,43490,185485.747,WELD,,0.28,,,,,,,2.5359999999927823,32.76236745,-104.26808652,,,,,321.672668352301,,,-1,-1
216,12000003,184871.496,End Run Tickle,,,,,,,,,,32.76236745,-104.26808652,,,,,321.672668352301,,,,,,,,,,,,,,,,,,,,,,,,-1,1
433,,,,,,,,,,,,,,,,,,,,,,12000001,185536.768,End Run Tickle,,,,,,,,,,32.76236745,-104.26808652,End Run Tickle,,,,321.672668352301,,,-1,1
0,12000000,-11.201,Begin Run Tickle,,,,,,,,,,32.31626379,-104.04974107,,110.0,0.0,9.88,268.0114783135654,,,12000000,-28.215,Begin Run Tickle,,,,,,,,,,32.31626379,-104.04974107,Begin Run Tickle,110.0,0.0,26.778,268.0114783135654,,,0,0
0,110,-1.321,WELD,,0.28,,,,,,,0.0,32.31626379,-104.04974107,,120.0,0.4208038492023593,2.643,268.0114783135654,,,110,-1.437,WELD,,0.28,,,,,,,0.0,32.31626379,-104.04974107,,120.0,0.4208038492023593,2.6740000000000004,268.0114783135654,,,1,-1
1,10000000,-0.904,LOCATION,,,,,,,,,,32.31626379,-104.04974107,Flange,120.0,0.4208038492023593,2.226,268.0114783135654,,,10000000,-0.977,LOCATION,,,,,,,,,,32.31626379,-104.04974107,,120.0,0.4208038492023593,2.214,268.0114783135654,,,1,1
2,10000001,0.0,LOCATION,,,,,,,,,,32.31626378,-104.0497411,Launch Valve - Pecos River Station,120.0,0.4221658109170067,1.322,268.0114783578716,,,10000001,0.0,LOCATION,,,,,,,,,,32.31626378,-104.0497411,,120.0,0.4221658109170067,1.237,268.0114783578716,,,1,2
0,10000002,0.932,LOCATION,,,,,,,,,,32.31626645,-104.04974079,Flange,120.0,0.12385846836360051,0.39,268.0117418355087,,,,,,,,,,,,,,,,,,,,,,,,1,3
217,,,,,,,,,,,,,,,,,,,,,,10000002,0.904,LOCATION,,,,,,,,,,32.31626655,-104.04974078,,120.0,0.11269934170826913,0.3330000000000001,268.01175176116755,,,1,3
1,120,1.322,WELD,,0.28,,,,,,,2.643,32.31626756,-104.04974068,,130.0,0.27882627904920393,0.8719999999999999,268.01185204608606,,,120,1.237,WELD,,0.28,,,,,,,2.6740000000000004,32.31626756,-104.04974068,,130.0,0.27882627904920393,0.9809999999999999,268.01185204608606,,,2,-1
1,10000003,1.436,LOCATION,,,,,,90.0,,,,32.31626884,-104.04974056,Tee at 90 deg.,130.0,0.13605106907334819,0.758,268.0119793805795,9.18485099360515e-16,15.0,,,,,,,,,,,,,,,,,,,,,,2,1
218,,,,,,,,,,,,,,,,,,,,,,10000003,1.5,LOCATION,,,,,,90.0,,,,32.31626897,-104.04974054,Tee at 90 deg.,130.0,0.12149719191806818,0.718,268.0119920336609,9.18485099360515e-16,15.0,2,1
2,130,2.194,WELD,,0.28,,,,,,,0.8719999999999999,32.31627006,-104.04974045,,140.0,0.07353890733867394,0.23099999999999987,268.0121009027075,,,130,2.218,WELD,,0.28,,,,,,,0.9809999999999999,32.31627006,-104.04974045,,140.0,0.07353890733867394,0.24299999999999988,268.0121009027075,,,3,-1
3,140,2.425,WELD,,0.28,,,,,,,0.23099999999999987,32.31627072,-104.0497404,,150.0,0.8437376877688417,2.697,268.01216698414845,,,140,2.461,WELD,,0.28,,,,,,,0.24299999999999988,32.31627072,-104.0497404,,150.0,0.8437376877688417,2.6860000000000004,268.01216698414845,,,4,-1
3,10000004,2.822,LOCATION,,,,,,,,,,32.31627186,-104.0497403,Flange,150.0,0.716687624427424,2.3,268.01228063727433,,,10000004,2.855,LOCATION,,,,,,,,,,32.31627187,-104.0497403,,150.0,0.7155765954262866,2.2920000000000003,268.0122816655949,,,4,1
4,10000005,3.753,LOCATION,,,,,,,,,,32.31627472,-104.0497401,Valve,150.0,0.39821202404041994,1.3689999999999998,268.0125675861631,,,10000005,3.767,LOCATION,,,,,,,,,,32.31627472,-104.0497401,Valve,150.0,0.39821202404041994,1.3800000000000003,268.0125675861631,,,4,2
2,10000006,4.697,LOCATION,,,,,,,,,,32.31627712,-104.04974003,Flange,150.0,0.13126384388377202,0.4249999999999998,268.01281188037797,,,,,,,,,,,,,,,,,,,,,,,,4,3
219,,,,,,,,,,,,,,,,,,,,,,10000006,4.695,LOCATION,,,,,,,,,,32.31627705,-104.04974003,,150.0,0.13904447618585913,0.45199999999999996,268.012804682131,,,4,3
4,150,5.122,WELD,,0.28,,,,,,,2.697,32.3162783,-104.04973999,,160.0,0.07785913555632272,0.2569999999999997,268.01293179208983,,,150,5.147,WELD,,0.28,,,,,,,2.6860000000000004,32.3162783,-104.04973999,,160.0,0.07785913555632272,0.20399999999999974,268.01293179208983,,,5,-1
