,id_A,feature_A,wc_A,wt_A,depth_in_A,length_in_A,width_in_A,joint_length_A,pressure_1_A,pressure_2_A,us_weld_dist_wc_ft_A,orientation_deg_A,orientation_x_A,orientation_y_A,lat_A,lng_A,comments_A,feature_category_A,id_B,feature_B,wc_B,wt_B,depth_in_B,length_in_B,width_in_B,joint_length_B,pressure_1_B,pressure_2_B,us_weld_dist_wc_ft_B,orientation_deg_B,orientation_x_B,orientation_y_B,lat_B,lng_B,comments_B,feature_category_B,pipe_section,section_sequence
0,12000000,Begin Run Tickle,-11.201,0.28,,,,,,,9.88,,,,32.31626379,-104.04974107,,,12000000,Begin Run Tickle,-28.215,0.28,,,,,,,26.778,,,,32.31626379,-104.04974107,Begin Run Tickle,tickle,0,0
0,110,WELD,-1.321,0.28,,,,0.0,,,2.643,,,,32.31626379,-104.04974107,,,110,WELD,-1.437,0.28,,,,0.0,,,2.6740000000000004,,,,32.31626379,-104.04974107,,,1,-1
1,10000000,LOCATION,-0.904,0.28,,,,,,,2.226,,,,32.31626379,-104.04974107,Flange,flange,10000000,LOCATION,-0.977,0.28,,,,,,,2.214,,,,32.31626379,-104.04974107,,,1,1
2,10000001,LOCATION,0.0,0.28,,,,,,,1.322,,,,32.31626378,-104.0497411,Launch Valve - Pecos River Station,valve,10000001,LOCATION,0.0,0.28,,,,,,,1.237,,,,32.31626378,-104.0497411,,,1,2
0,10000002,LOCATION,0.932,0.28,,,,,,,0.39,,,,32.31626645,-104.04974079,Flange,flange,,,,,,,,,,,,,,,,,,,1,3
217,,,,,,,,,,,,,,,,,,,10000002,LOCATION,0.904,0.28,,,,,,,0.3330000000000001,,,,32.31626655,-104.04974078,,,1,3
1,120,WELD,1.322,0.28,,,,2.643,,,0.8719999999999999,,,,32.31626756,-104.04974068,,,120,WELD,1.237,0.28,,,,2.6740000000000004,,,0.9809999999999999,,,,32.31626756,-104.04974068,,,2,-1
1,10000003,LOCATION,1.436,0.28,,,,,,,0.758,90.0,9.18485099360515e-16,15.0,32.31626884,-104.04974056,Tee at 90 deg.,tee,,,,,,,,,,,,,,,,,,,2,1
218,,,,,,,,,,,,,,,,,,,10000003,LOCATION,1.5,0.28,,,,,,,0.718,90.0,9.18485099360515e-16,15.0,32.31626897,-104.04974054,Tee at 90 deg.,tee,2,1
2,130,WELD,2.194,0.28,,,,0.8719999999999999,,,0.23099999999999987,,,,32.31627006,-104.04974045,,,130,WELD,2.218,0.28,,,,0.9809999999999999,,,0.24299999999999988,,,,32.31627006,-104.04974045,,,3,-1
3,140,WELD,2.425,0.28,,,,0.23099999999999987,,,2.697,,,,32.31627072,-104.0497404,,,140,WELD,2.461,0.28,,,,0.24299999999999988,,,2.6860000000000004,,,,32.31627072,-104.0497404,,,4,-1
3,10000004,LOCATION,2.822,0.28,,,,,,,2.3,,,,32.31627186,-104.0497403,Flange,flange,10000004,LOCATION,2.855,0.28,,,,,,,2.2920000000000003,,,,32.31627187,-104.0497403,,,4,1
4,10000005,LOCATION,3.753,0.28,,,,,,,1.3689999999999998,,,,32.31627472,-104.0497401,Valve,valve,10000005,LOCATION,3.767,0.28,,,,,,,1.3800000000000003,,,,32.31627472,-104.0497401,Valve,valve,4,2
2,10000006,LOCATION,4.697,0.28,,,,,,,0.4249999999999998,,,,32.31627712,-104.04974003,Flange,flange,,,,,,,,,,,,,,,,,,,4,3
219,,,,,,,,,,,,,,,,,,,10000006,LOCATION,4.695,0.28,,,,,,,0.45199999999999996,,,,32.31627705,-104.04974003,,,4,3
4,150,WELD,5.122,0.28,,,,2.697,,,0.2569999999999997,,,,32.3162783,-104.04973999,,,150,WELD,5.147,0.28,,,,2.6860000000000004,,,0.20399999999999974,,,,32.3162783,-104.04973999,,,5,-1
5,160,WELD,5.379,0.28,,,,0.2569999999999997,,,0.9180000000000001,,,,32.316279,-104.04973997,,,160,WELD,5.351,0.28,,,,0.20399999999999974,,,0.9870000000000001,,,,32.316279,-104.04973997,,,6,-1
3,10000007,LOCATION,5.567,0.28,,,,,,,0.7299999999999995,270.0,-2.7554552980815444e-15,-15.0,32.31628018,-104.04973995,Tee at 270 deg.,tee,,,,,,,,,,,,,,,,,,,6,1
220,,,,,,,,,,,,,,,,,,,10000007,LOCATION,5.546,0.28,,,,,,,0.7919999999999998,270.0,-2.7554552980815444e-15,-15.0,32.31628028,-104.04973995,Tee at 270 deg.,tee,6,1
6,170,WELD,6.297,0.28,,,,0.9180000000000001,,,8.506,,,,32.31628154,-104.04973992,,,170,WELD,6.338,0.28,,,,0.9870000000000001,,,8.572,,,,32.31628154,-104.04973992,,,7,-1
5,10000008,LOCATION,6.769,0.28,,,,,,,8.034,,,,32.31628354,-104.04973988,Pipe Support,support,10000008,LOCATION,6.795,0.28,,,,,,,8.115,,,,32.31628351,-104.04973988,,,7,1
4,10000009,LOCATION,7.15,0.28,,,,,,,7.6530000000000005,0.0,15.0,0.0,32.31628404,-104.04973987,Fitting on top of pipe,fitting,,,,,,,,,,,,,,,,,,,7,2
221,,,,,,,,,,,,,,,,,,,10000009,LOCATION,7.143,0.28,,,,,,,7.767,0.0,15.0,0.0,32.31628396,-104.04973987,Fitting on top of pipe,fitting,7,2
6,10000010,LOCATION,8.212,0.28,,,,,,,6.591000000000001,0.0,15.0,0.0,32.31628704,-104.04973981,Fitting on top of pipe,fitting,10000010,LOCATION,8.25,0.28,,,,,,,6.66,0.0,15.0,0.0,32.316287,-104.04973981,Fitting on top of pipe,fitting,7,3
5,10000011,LOCATION,9.261,0.28,,2.546,,,,,5.542000000000002,,,,32.31629314,-104.04973978,"Bend down - 30 deg., 9D ",bend,,,,,,,,,,,,,,,,,,,7,4
222,,,,,,,,,,,,,,,,,,,10000011,LOCATION,9.231,0.28,,2.637,,,,,5.679,,,,32.316293,-104.04973978,"Bend down - 31 deg., 9D ",bend,7,4
7,180,WELD,14.803,0.28,,,,8.506,,,1.7669999999999995,,,,32.31630356,-104.04973963,,,180,WELD,14.91,0.28,,,,8.572,,,1.8449999999999989,,,,32.31630356,-104.04973963,,,8,-1
8,190,WELD,16.57,0.28,,,,1.7669999999999995,,,8.553,,,,32.31630776,-104.0497396,,,190,WELD,16.755,0.28,,,,1.8449999999999989,,,8.628,,,,32.31630776,-104.0497396,,,9,-1
6,10000012,LOCATION,19.641,0.219,,2.518,,,,,5.482000000000003,,,,32.31631835,-104.0497396,"Bend up - 32 deg., 8D ",bend,,,,,,,,,,,,,,,,,,,9,1
