,A,id_A,wc_A,feature_A,us_weld_dist_wc_ft_A,wt_A,depth_in_A,length_in_A,width_in_A,orientation_deg_A,pressure_1_A,pressure_2_A,joint_length_A,comments_A,us_weld_id_orig_A,feature_category_A,pipe_section_orig_A,section_sequence_orig_A,orientation_x_A,orientation_y_A,us_weld_id_A,pipe_section_A,section_sequence_A,B,id_B,wc_B,feature_B,us_weld_dist_wc_ft_B,wt_B,depth_in_B,length_in_B,width_in_B,orientation_deg_B,pressure_1_B,pressure_2_B,joint_length_B,comments_B,us_weld_id_orig_B,feature_category_B,pipe_section_orig_B,section_sequence_orig_B,orientation_x_B,orientation_y_B,us_weld_id_B,pipe_section_B,section_sequence_B
0,1,110,-1.153,WELD,2.271,0.365,,,,,,,0.0,,120.0,,1,0,,,120.0,1,0,1,110,-1.123,WELD,2.205,0.365,,,,,,,0.0,,120.0,,1,0,,,120.0,1,0
1,5,120,1.118,WELD,1.006,0.365,,,,,,,2.271,,130.0,,2,0,,,130.0,2,0,5,120,1.082,WELD,0.9909999999999999,0.365,,,,,,,2.205,,130.0,,2,0,,,130.0,2,0
2,6,130,2.124,WELD,1.342,0.365,,,,,,,1.006,,140.0,,3,0,,,140.0,3,0,6,130,2.073,WELD,1.3780000000000001,0.365,,,,,,,0.9909999999999999,,140.0,,3,0,,,140.0,3,0
3,8,140,3.466,WELD,6.851999999999999,0.365,,,,,,,1.342,,150.0,,4,0,,,150.0,4,0,8,140,3.451,WELD,6.757,0.365,,,,,,,1.3780000000000001,,150.0,,4,0,,,150.0,4,0
4,13,150,10.318,WELD,6.706000000000001,0.365,,,,,,,6.851999999999999,,160.0,,5,0,,,160.0,5,0,12,150,10.208,WELD,6.6309999999999985,0.365,,,,,,,6.757,,160.0,,5,0,,,160.0,5,0
5,15,160,17.024,WELD,44.580999999999996,0.365,,,,,,,6.706000000000001,,170.0,,6,0,,,170.0,6,0,14,160,16.839,WELD,44.501000000000005,0.365,,,,,,,6.6309999999999985,,170.0,,6,0,,,170.0,6,0
6,16,170,61.605,WELD,2.2180000000000035,0.365,,,,,,,44.580999999999996,,180.0,,7,0,,,180.0,7,0,15,170,61.34,WELD,2.2819999999999965,0.365,,,,,,,44.501000000000005,,180.0,,7,0,,,180.0,7,0
7,20,180,63.823,WELD,5.815999999999995,0.25,,,,,,,2.2180000000000035,,190.0,,8,0,,,190.0,8,0,19,180,63.622,WELD,5.795000000000002,0.25,,,,,,,2.2819999999999965,,190.0,,8,0,,,190.0,8,0
8,21,190,69.639,WELD,27.873000000000005,0.25,,,,,,,5.815999999999995,,200.0,,9,0,,,200.0,9,0,20,190,69.417,WELD,27.796999999999997,0.25,,,,,,,5.795000000000002,,200.0,,9,0,,,200.0,9,0
9,27,200,97.512,WELD,45.389999999999986,0.25,,,,,,,27.873000000000005,,210.0,,10,0,,,210.0,10,0,28,200,97.214,WELD,45.382000000000005,0.25,,,,,,,27.796999999999997,,210.0,,10,0,,,210.0,10,0
10,33,210,142.902,WELD,6.549000000000007,0.365,,,,,,,45.389999999999986,,220.0,,11,0,,,220.0,11,0,37,210,142.596,WELD,6.525000000000006,0.365,,,,,,,45.382000000000005,,220.0,,11,0,,,220.0,11,0
11,34,220,149.451,WELD,32.46700000000001,0.25,,,,,,,6.549000000000007,,230.0,,12,0,,,230.0,12,0,38,220,149.121,WELD,32.367999999999995,0.25,,,,,,,6.525000000000006,,230.0,,12,0,,,230.0,12,0
12,43,230,181.918,WELD,7.082999999999998,0.25,,,,,,,32.46700000000001,,240.0,,13,0,,,240.0,13,0,53,230,181.489,WELD,7.087999999999994,0.25,,,,,,,32.367999999999995,,240.0,,13,0,,,240.0,13,0
13,44,240,189.001,WELD,4.430999999999983,0.25,,,,,,,7.082999999999998,,250.0,,14,0,,,250.0,14,0,59,240,188.577,WELD,4.413000000000011,0.25,,,,,,,7.087999999999994,,250.0,,14,0,,,250.0,14,0
14,51,250,193.432,WELD,41.85400000000001,0.25,,,,,,,4.430999999999983,,260.0,,15,0,,,260.0,15,0,67,250,192.99,WELD,41.821,0.25,,,,,,,4.413000000000011,,260.0,,15,0,,,260.0,15,0
15,64,260,235.286,WELD,45.39499999999998,0.25,,,,,,,41.85400000000001,,270.0,,16,0,,,270.0,16,0,90,260,234.811,WELD,45.33000000000001,0.25,,,,,,,41.821,,270.0,,16,0,,,270.0,16,0
16,65,270,280.681,WELD,26.30400000000003,0.25,,,,,,,45.39499999999998,,280.0,,17,0,,,280.0,17,0,93,270,280.141,WELD,26.290999999999997,0.25,,,,,,,45.33000000000001,,280.0,,17,0,,,280.0,17,0
17,68,280,306.985,WELD,20.497000000000014,0.25,,,,,,,26.30400000000003,,290.0,,18,0,,,290.0,18,0,97,280,306.432,WELD,20.47800000000001,0.25,,,,,,,26.290999999999997,,290.0,,18,0,,,290.0,18,0
18,69,290,327.482,WELD,18.662999999999954,0.25,,,,,,,20.497000000000014,,300.0,,19,0,,,300.0,19,0,98,290,326.91,WELD,18.60899999999998,0.25,,,,,,,20.47800000000001,,300.0,,19,0,,,300.0,19,0
19,73,300,346.145,WELD,25.977000000000032,0.25,,,,,,,18.662999999999954,,310.0,,20,0,,,310.0,20,0,103,300,345.519,WELD,25.980999999999995,0.25,,,,,,,18.60899999999998,,310.0,,20,0,,,310.0,20,0
20,76,310,372.122,WELD,46.64099999999996,0.25,,,,,,,25.977000000000032,,320.0,,21,0,,,320.0,21,0,108,310,371.5,WELD,46.59899999999999,0.25,,,,,,,25.980999999999995,,320.0,,21,0,,,320.0,21,0
21,82,320,418.763,WELD,21.46700000000004,0.25,,,,,,,46.64099999999996,,330.0,,22,0,,,330.0,22,0,126,320,418.099,WELD,21.375,0.25,,,,,,,46.59899999999999,,330.0,,22,0,,,330.0,22,0
22,89,330,440.23,WELD,47.286,0.25,,,,,,,21.46700000000004,,340.0,,23,0,,,340.0,23,0,133,330,439.474,WELD,47.166,0.25,,,,,,,21.375,,340.0,,23,0,,,340.0,23,0
23,152,340,487.516,WELD,20.406000000000006,0.25,,,,,,,47.286,,350.0,,24,0,,,350.0,24,0,234,340,486.64,WELD,20.336000000000013,0.25,,,,,,,47.166,,350.0,,24,0,,,350.0,24,0
24,170,350,507.922,WELD,10.41599999999994,0.25,,,,,,,20.406000000000006,,360.0,,25,0,,,360.0,25,0,261,350,506.976,WELD,10.376999999999953,0.25,,,,,,,20.336000000000013,,360.0,,25,0,,,360.0,25,0
25,177,360,518.338,WELD,25.74700000000007,0.25,,,,,,,10.41599999999994,,370.0,,26,0,,,370.0,26,0,270,360,517.353,WELD,25.647000000000048,0.25,,,,,,,10.376999999999953,,370.0,,26,0,,,370.0,26,0
26,185,370,544.085,WELD,11.627999999999929,0.25,,,,,,,25.74700000000007,,380.0,,27,0,,,380.0,27,0,279,370,543.0,WELD,11.580000000000041,0.25,,,,,,,25.647000000000048,,380.0,,27,0,,,380.0,27,0
27,189,380,555.713,WELD,45.456999999999994,0.25,,,,,,,11.627999999999929,,390.0,,28,0,,,390.0,28,0,284,380,554.58,WELD,45.28899999999999,0.25,,,,,,,11.580000000000041,,390.0,,28,0,,,390.0,28,0
28,192,390,601.17,WELD,22.533999999999992,0.365,,,,,,,45.456999999999994,,400.0,,29,0,,,400.0,29,0,287,390,599.869,WELD,22.487999999999943,0.365,,,,,,,45.28899999999999,,400.0,,29,0,,,400.0,29,0
29,194,400,623.704,WELD,9.76400000000001,0.365,,,,,,,22.533999999999992,,410.0,,30,0,,,410.0,30,0,290,400,622.357,WELD,9.724000000000046,0.365,,,,,,,22.487999999999943,,410.0,,30,0,,,410.0,30,0
30,195,410,633.468,WELD,7.4220000000000255,0.365,,,,,,,9.76400000000001,,420.0,,31,0,,,420.0,31,0,291,410,632.081,WELD,7.372999999999934,0.365,,,,,,,9.724000000000046,,420.0,,31,0,,,420.0,31,0
31,196,420,640.89,WELD,33.301000000000045,0.25,,,,,,,7.4220000000000255,,430.0,,32,0,,,430.0,32,0,293,420,639.454,WELD,33.182000000000016,0.25,,,,,,,7.372999999999934,,430.0,,32,0,,,430.0,32,0
32,199,430,674.191,WELD,24.164999999999964,0.25,,,,,,,33.301000000000045,,440.0,,33,0,,,440.0,33,0,298,430,672.636,WELD,24.030000000000086,0.25,,,,,,,33.182000000000016,,440.0,,33,0,,,440.0,33,0
33,202,440,698.356,WELD,138.24,0.25,,,,,,,24.164999999999964,,450.0,,34,0,,,470.0,34,0,302,440,696.666,WELD,137.577,0.365,,,,,,,24.030000000000086,,450.0,,34,0,,,480.0,34,0
34,218,470,836.596,WELD,42.71600000000001,0.25,,,,,,,47.442999999999984,,480.0,,37,0,,,480.0,35,0,306,480,834.243,WELD,42.400999999999954,0.25,,,,,,,47.05400000000009,,490.0,,38,0,,,490.0,35,0
35,222,480,879.312,WELD,46.799999999999955,0.25,,,,,,,42.71600000000001,,490.0,,38,0,,,490.0,36,0,312,490,876.644,WELD,46.41599999999994,0.25,,,,,,,42.400999999999954,,500.0,,39,0,,,500.0,36,0
36,224,490,926.112,WELD,46.888000000000034,0.25,,,,,,,46.799999999999955,,500.0,,39,0,,,500.0,37,0,315,500,923.06,WELD,46.524,0.25,,,,,,,46.41599999999994,,510.0,,40,0,,,510.0,37,0
37,226,500,973.0,WELD,47.914999999999964,0.25,,,,,,,46.888000000000034,,510.0,,40,0,,,510.0,38,0,316,510,969.584,WELD,47.50700000000006,0.25,,,,,,,46.524,,520.0,,41,0,,,520.0,38,0
38,232,510,1020.915,WELD,45.49400000000014,0.25,,,,,,,47.914999999999964,,520.0,,41,0,,,520.0,39,0,320,520,1017.091,WELD,45.11299999999994,0.25,,,,,,,47.50700000000006,,530.0,,42,0,,,530.0,39,0
39,245,520,1066.409,WELD,44.53699999999981,0.25,,,,,,,45.49400000000014,,530.0,,42,0,,,530.0,40,0,338,530,1062.204,WELD,44.15300000000002,0.25,,,,,,,45.11299999999994,,540.0,,43,0,,,540.0,40,0
40,248,530,1110.946,WELD,47.256000000000085,0.25,,,,,,,44.53699999999981,,540.0,,43,0,,,540.0,41,0,342,540,1106.357,WELD,46.833000000000084,0.25,,,,,,,44.15300000000002,,550.0,,44,0,,,550.0,41,0
