,id_A,feature_A,wc_A,wt_A,depth_in_A,length_in_A,width_in_A,joint_length_A,pressure_1_A,pressure_2_A,us_weld_dist_wc_ft_A,orientation_deg_A,orientation_x_A,orientation_y_A,comments_A,feature_category_A,id_B,feature_B,wc_B,wt_B,depth_in_B,length_in_B,width_in_B,joint_length_B,pressure_1_B,pressure_2_B,us_weld_dist_wc_ft_B,orientation_deg_B,orientation_x_B,orientation_y_B,comments_B,feature_category_B,pipe_section,section_sequence
0,110,WELD,-0.968,0.28,,,,,35000.0,0.72,0.0,,,,SEAMLESS,seamless,110,WELD,-1.007,0.28,,,,,35000.0,0.72,0.0,,,,SEAMLESS,seamless,0,-1
1,120,WELD,1.185,0.0,,,,2.153,0.0,0.72,2.153,,,,,,120,WELD,1.183,0.0,,,,2.19,0.0,0.72,2.19,,,,,,0,-1
0,12000000,MISC,-18.21,0.28,,,,,,,-17.242,,,,Begin Run Tickle,tickle,,,,,,,,,,,,,,,,,0,0
91,,,,,,,,,,,,,,,,,12000000,MISC,-19.793,0.28,,,,,,,-18.785999999999998,,,,Begin Run Tickle,tickle,0,0
0,10000000,LOCATION,-0.65,0.0,,,,,,,0.31799999999999995,0.0,15.0,0.0,,,10000000,LOCATION,-0.682,0.0,,,,,,,0.32499999999999984,0.0,15.0,0.0,Flange,flange,0,2
1,10000001,LOCATION,0.0,0.0,,,,,,,0.968,0.0,15.0,0.0,"LAUNCH VALVE, South Foster",valve,10000001,LOCATION,0.0,0.0,,,,,,,1.007,0.0,15.0,0.0,"LAUNCH VALVE @ P3 Site MLV 1, South Foster Launcher",valve,0,3
2,10000002,LOCATION,0.697,0.0,,,,,,,1.665,0.0,15.0,0.0,,,10000002,LOCATION,0.692,0.0,,,,,,,1.6989999999999998,0.0,15.0,0.0,Flange,flange,0,4
2,130,WELD,8.663,0.0,,,,7.478,0.0,0.72,7.478,,,,,,130,WELD,9.192,0.0,,,,8.009,0.0,0.72,8.009,,,,,,1,-1
3,10000003,LOCATION,1.486,0.0,,,,,,,0.30099999999999993,312.0,10.036959095382867,-11.147172382160921,Fitting at 315 deg.,fitting,10000003,LOCATION,1.533,0.0,,,,,,,0.34999999999999987,270.0,-2.7554552980815444e-15,-15.0,Fitting at 270 deg.,fitting,1,0
0,20000000,METAL LOSS,2.807,0.0,0.16,0.737,0.734,,,,1.6219999999999999,55.0,8.603646545265692,12.287280664334876,Ext Metal Loss,metal loss / mill anomaly,20000004,METAL LOSS,2.774,0.0,0.162,0.738,0.803,,,,1.591,60.0,7.500000000000002,12.990381056766578,Ext Metal Loss,metal loss / mill anomaly,1,1
92,,,,,,,,,,,,,,,,,20000000,METAL LOSS,1.694,0.0,0.158,0.778,0.793,,,,0.5109999999999999,208.0,-13.244213892883904,-7.042073441788363,Ext Metal Loss,metal loss / mill anomaly,1,1
1,20000001,METAL LOSS,3.529,0.0,0.119,0.879,1.791,,,,2.344,235.0,-8.603646545265695,-12.287280664334874,Ext Metal Loss,metal loss / mill anomaly,20000011,METAL LOSS,3.44,0.0,0.166,0.784,0.833,,,,2.2569999999999997,242.0,-7.042073441788361,-13.244213892883906,Ext Metal Loss,metal loss / mill anomaly,1,2
93,,,,,,,,,,,,,,,,,20000001,METAL LOSS,1.889,0.0,0.171,0.683,0.918,,,,0.706,173.0,-14.88819227461983,1.828040151077213,Ext Metal Loss,metal loss / mill anomaly,1,2
