,A,id_A,wc_A,feature_A,us_weld_dist_wc_ft_A,wt_A,depth_in_A,length_in_A,width_in_A,orientation_deg_A,pressure_1_A,pressure_2_A,joint_length_A,lat_A,lng_A,comments_A,us_weld_id_A,feature_category_A,us_weld_dist_coord_m_A,pipe_section_A,section_sequence_A,orientation_x_A,orientation_y_A,h_dist_A,wc_norm_A,B,id_B,wc_B,feature_B,us_weld_dist_wc_ft_B,wt_B,depth_in_B,length_in_B,width_in_B,orientation_deg_B,pressure_1_B,pressure_2_B,joint_length_B,lat_B,lng_B,comments_B,us_weld_id_B,feature_category_B,us_weld_dist_coord_m_B,pipe_section_B,section_sequence_B,orientation_x_B,orientation_y_B,h_dist_B,wc_norm_B,match_score
0,1901,17600,76157.855,WELD,45.19600000001083,0.219,,,,,,,35.4369999999908,32.48318329,-104.17926803,,17610.0,,13.783519153455956,1750,0,,,289.8355212020736,76157.855,1898,17810,77500.703,WELD,45.15000000000873,0.219,,,,,,,35.453999999997905,32.48497268,-104.18104956,,17820.0,,13.7275604190959,1771,0,,,290.0843160496777,77234.3813613064,0.6665999001757564
1,2906,26590,113455.969,WELD,45.1310000000085,0.219,,,,,,,35.38300000000163,32.57568918,-104.22560387,,26600.0,,13.806980892946621,2649,0,,,301.00112680829324,113455.969,2996,27570,117318.358,WELD,45.00700000001234,0.219,,,,,,,35.37699999999313,32.58458545,-104.225454,,27580.0,,13.773716073966414,2747,0,,,301.9046152625719,116915.25768049825,0.6666583490042534
2,2982,27330,116690.085,WELD,45.054999999993015,0.219,,,,,,,35.39300000001094,32.58458545,-104.225454,,27340.0,,13.773716073966414,2723,0,,,301.9046152625719,116690.085,3032,27910,118798.543,WELD,45.130999999993946,0.219,,,,,,,35.379000000000815,32.58865973,-104.2253816,,27920.0,,13.770649467058666,2781,0,,,302.3184324889609,118390.35805781891,0.6666213841268457
3,3879,35790,152837.511,WELD,45.086999999999534,0.219,,,,,,,35.654999999998836,32.67672738,-104.24930251,,35800.0,,13.782495704967973,3569,0,,,312.2079741802176,152837.511,3909,36230,154327.647,WELD,20.788000000000466,0.219,,,,,,,35.71899999998277,32.6787523,-104.25065448,,36240.0,,6.356162277188641,3613,0,,,312.4645991683743,153797.41509208444,0.6657216318901121
4,1921,17740,76731.796,WELD,44.92399999999907,0.219,,,,,,,29.236000000004424,32.48434121,-104.18053493,,17750.0,,13.733838370672297,1764,0,,,290.0007414157253,76731.796,1910,17930,78026.539,WELD,45.163999999989755,0.219,,,,,,,29.093000000008033,32.48615477,-104.18202054,,17940.0,,13.736622129691273,1783,0,,,290.2410493918735,77758.41104814202,0.6619752712894535
5,1664,15320,66295.755,WELD,37.82799999999406,0.219,,,,,,,36.179000000003725,32.46272953,-104.15820415,,15330.0,,11.56932487779004,1522,0,,,286.9673068802595,66295.755,1663,15590,67849.913,WELD,30.952999999994063,0.219,,,,,,,36.270000000004075,32.46503777,-104.16056168,,15600.0,,9.404639554582314,1549,0,,,287.2901214723078,67616.74304552695,0.6647588300823953
6,1983,18340,79320.323,WELD,44.945999999996275,0.219,,,,,,,35.24000000000524,32.49018556,-104.18534991,,18350.0,,13.740803890970765,1824,0,,,290.7762007368796,79320.323,2026,18770,80819.075,WELD,40.330000000001746,0.28,,,,,,,35.39100000000326,32.49221651,-104.18702027,,18780.0,,13.744999003421192,1867,0,,,291.0455901418097,80541.35433379984,0.6605813029034729
7,1224,11420,49179.668,WELD,45.0109999999986,0.219,,,,,,,25.315999999998894,32.4224811,-104.12984956,,11430.0,,13.770657210546402,1132,0,,,281.80818904060874,49179.668,1235,11540,50029.576,WELD,28.02799999999843,0.219,,,,,,,25.347999999998137,32.42363908,-104.13081327,,11550.0,,8.51286121445226,1144,0,,,281.9620058132168,49857.6211569247,0.6664301563744345
8,1941,17930,77533.783,WELD,44.913000000000466,0.219,,,,,,,28.95199999999022,32.48615477,-104.18202054,,17940.0,,13.736622129691273,1783,0,,,290.2410493918735,77533.783,1932,18140,78951.476,WELD,45.19800000000396,0.219,,,,,,,29.00999999999476,32.48823315,-104.18373245,,18150.0,,13.747287584365905,1804,0,,,290.51680442527936,78680.17077256685,0.6658903230982666
9,2078,19120,82228.588,WELD,18.646999999997206,0.219,,,,,,,14.021999999997206,32.49665781,-104.19082217,,19130.0,,5.705371276319042,1902,0,,,291.64026864967855,82228.588,2104,19360,82826.945,WELD,18.78499999998894,0.219,,,,,,,14.039000000004307,32.49665781,-104.19082217,,19370.0,,5.705371276319042,1926,0,,,291.64026864967855,82542.32704640728,0.6665999001757564
